pdbid,dna,U,protein,duplex,max p,max U,min dna
10MH,"[12, 12]",[],[327],True,327,0,12
1A02,"[20, 20]",[],"[301, 56, 56]",False,301,0,20
1A0A,"[17, 17]",[],[63],True,63,0,17
1A1F,"[11, 11]",[],[90],False,90,0,11
1A1G,"[11, 11]",[],[90],False,90,0,11
1A1H,"[11, 11]",[],[90],False,90,0,11
1A1I,"[11, 11]",[],[90],False,90,0,11
1A1J,"[11, 11]",[],[90],False,90,0,11
1A1K,"[11, 11]",[],[90],False,90,0,11
1A1L,"[11, 11]",[],[90],False,90,0,11
1A3Q,"[11, 11]",[],[285],True,285,0,11
1A66,"[12, 12]",[],[178],True,178,0,12
1A6B,[5],[],[40],False,40,0,5
1A73,"[13, 8]",[],[163],False,163,0,8
1A74,[21],[],[163],False,163,0,21
1AAY,"[11, 11]",[],[90],False,90,0,11
1AHD,"[14, 14]",[],[68],True,68,0,14
1AKH,"[21, 21]",[],"[61, 83]",False,83,0,21
1AM9,"[17, 21]",[],[82],False,82,0,17
1AN2,[22],[],[86],True,86,0,22
1AN4,"[21, 21]",[],[65],False,65,0,21
1AOI,[146],[],"[116, 87, 116, 99]",True,116,0,146
1APL,"[21, 21]",[],[83],False,83,0,21
1AU7,"[25, 24]",[],[146],False,146,0,24
1AZ0,[11],[],[244],False,244,0,11
1AZP,[8],[],[66],True,66,0,8
1AZQ,[8],[],[66],True,66,0,8
1B01,"[19, 19]",[],[45],False,45,0,19
1B3T,[18],[],[147],True,147,0,18
1B69,"[13, 13]",[],[69],True,69,0,13
1B72,"[20, 20]",[],"[97, 87]",False,97,0,20
1B8I,"[15, 15]",[],"[81, 63]",False,81,0,15
1B94,[11],[],[244],False,244,0,11
1B95,[11],[],[244],False,244,0,11
1B96,[11],[],[244],False,244,0,11
1B97,[11],[],[244],False,244,0,11
1BBX,[12],[],[63],True,63,0,12
1BC7,"[11, 11]",[],[93],True,93,0,11
1BC8,"[10, 10]",[],[93],False,93,0,10
1BDH,[17],[],[340],False,340,0,17
1BDI,[17],[],[340],False,340,0,17
