pdbid,dna,U,protein,duplex
10MH,"[12, 12]",[],[327],True
173D,[8],[],[11],True
185D,[6],[],[8],True
193D,[8],[],[8],True
1A02,"[20, 20]",[],"[301, 56, 56]",False
1A0A,"[17, 17]",[],[63],True
1A1F,"[11, 11]",[],[90],False
1A1G,"[11, 11]",[],[90],False
1A1H,"[11, 11]",[],[90],False
1A1I,"[11, 11]",[],[90],False
1A1J,"[11, 11]",[],[90],False
1A1K,"[11, 11]",[],[90],False
1A1L,"[11, 11]",[],[90],False
1A1V,[],[8],[476],False
1A31,[],"[22, 22]",[591],False
1A35,[],"[22, 22]",[591],False
1A36,"[22, 22]",[],[591],True
1A3Q,"[11, 11]",[],[285],True
1A66,"[12, 12]",[],[178],True
1A6B,[5],[],[40],False
1A6Y,[20],[20],[94],False
1A73,"[13, 8]",[],[163],False
1A74,[21],[],[163],False
1AAY,"[11, 11]",[],[90],False
1AHD,"[14, 14]",[],[68],True
1AIS,[17],[17],"[182, 200]",False
1AKH,"[21, 21]",[],"[61, 83]",False
1AM9,"[17, 21]",[],[82],False
1AN2,[22],[],[86],True
1AN4,"[21, 21]",[],[65],False
1AOI,[146],[],"[116, 87, 116, 99]",True
1APL,"[21, 21]",[],[83],False
1AU7,"[25, 24]",[],[146],False
1AWC,[],"[21, 21]","[110, 153]",False
1AZ0,[11],[],[244],False
1AZP,[8],[],[66],True
1AZQ,[8],[],[66],True
1B01,"[19, 19]",[],[45],False
1B3T,[18],[],[147],True
1B69,"[13, 13]",[],[69],True
1B72,"[20, 20]",[],"[97, 87]",False
1B8I,"[15, 15]",[],"[81, 63]",False
1B94,[11],[],[244],False
1B95,[11],[],[244],False
1B96,[11],[],[244],False
1B97,[11],[],[244],False
1BBX,[12],[],[63],True
1BC7,"[11, 11]",[],[93],True
1BC8,"[10, 10]",[],[93],False
1BDH,[17],[],[340],False
1BDI,[17],[],[340],False
1BDT,"[22, 22]",[],[53],False
1BDV,"[22, 22]",[],[53],False
1BDX,[16],[],[203],True
1BF4,[8],[8],[63],False
1BF5,"[18, 18]",[],[575],False
1BG1,[18],[],[596],False
1BGB,[11],[],[244],False
1BHM,[12],[],[213],True
1BJ6,[5],[],[42],False
1BL0,"[24, 24]",[],[129],False
1BNK,[13],[],"[13, 216]",False
1BNZ,[8],[],[64],True
1BP7,"[24, 24]",[],[152],True
1BRN,[4],[],[110],False
1BSS,[11],[],[244],False
1BSU,[],[],"[10, 11, 244]",False
1BUA,[],[],"[11, 244]",False
1BVO,"[15, 15]",[],[175],False
1BY4,"[16, 15]",[],[82],False
1C0W,"[21, 21]",[],[225],False
1C7U,[20],[],[85],True
1C8C,[8],[],[64],False
1C9B,"[18, 18]",[],"[207, 180]",False
1CA5,[8],[],[66],True
1CA6,[8],[],[66],False
1CBV,[3],[],"[219, 219]",False
1CDW,"[16, 16]",[],[179],True
1CEZ,"[15, 17]",[],[883],False
1CF7,"[16, 16]",[],"[76, 95]",False
1CGP,"[18, 13]",[],[205],False
1CIT,"[16, 16]",[],[89],True
1CJG,[22],[],[62],True
1CKQ,[13],[],[276],False
1CKT,[16],[16],[71],False
1CL8,[13],[],[276],False
1CLQ,"[11, 12]",[],[903],False
1CMA,"[10, 9]",[],[104],False
1CO0,"[20, 20]",[],[107],True
1CQT,"[15, 15]",[],"[163, 44]",False
1CYQ,[21],[],[162],False
1CZ0,[21],[],[162],False
1D02,[10],[],[202],True
1D0E,[11],[],[259],False
1D1U,"[6, 10]",[],[255],False
1D2I,[16],[],[223],False
1D3U,"[24, 23]",[],"[181, 201]",False
1D5Y,"[21, 21]",[],[292],False
1D66,"[19, 19]",[],[66],True
1D8Y,[19],[],[605],False
1DC1,[13],[],[323],False
1DCT,"[18, 18]",[],[324],False
1DDN,"[33, 33]",[],[226],False
1DE8,[11],[],"[11, 276]",False
1DEW,[14],[],"[15, 279]",False
1DFM,[16],[],[223],False
1DGC,[19],[],[62],False
1DH3,[21],[],[55],False
1DIZ,[13],[],"[13, 282]",False
1DMU,[17],[],[299],False
1DNK,"[7, 8]",[],[260],False
1DP7,[],[16],[76],False
1DRG,"[16, 19]",[],[323],False
1DSC,[8],[],[11],True
1DSD,[8],[],[11],False
1DSZ,"[15, 15]",[],"[86, 85]",True
1DU0,"[21, 21]",[],[57],False
1DUX,"[13, 13]",[],[94],True
1E3M,"[30, 30]",[],[800],False
1E3O,"[11, 11]",[],[160],True
1EA4,"[22, 22]",[],[45],False
1EBM,"[15, 15]",[],[317],True
1ECR,"[16, 16]",[],[309],False
1EFA,[21],[],[333],False
1EGW,"[17, 17]",[],[77],False
1EHL,[2],[],"[217, 219]",False
